T1,T2
M621.422T1335.803,M652.503T1490.314
M1001.706T1624.867,M956.379T959.199
M885.34T952.01,M386.164T943.456
M649.479T1423.325,M393.189T1440.567
M639.424T1423.012,M423.321T1473.286
M1054.431T975.822,M1T1
M898.344T887.472,
M963.375T943.327,
M1000.38T828.514,
M871.347T798.136,
M855.342T925.437,
M894.338T940.951,
M566.215T813.875,
M427.172T904.493,
M564.206T918.312,
M861.315T941.124,
M1087.424T940.951,
M661.445T1228.528,
M990.389T957.42,
M808.349T959.178,
M681.469T1389.183,
M905.364T942.609,
M805.331T872.624,
M837.55T1439.862,
M758.249T769.852,
M893.342T812.644,
M787.312T881.272,
M481.203T929.492,
M650.482T1423.013,
M850.319T935.639,
M789.34T911.399,
M822.329T941.141,
M833.305T975.822,
M689.269T924.637,
M1001.365T875.234,
M836.312T942.609,
M795.538T1390.404,
M1070.408T957.42,
M960.389T959.199,
M869.334T919.017,
M936.359T886.012,
M433.152T909.874,
M914.341T957.42,
M715.234T828.282,
M855.334T832.505,
M1033.405T908.018,
M785.299T924.482,
M899.333T857.905,
M613.48T1389.147,
M634.244T942.609,
M871.337T832.505,
M935.358T959.199,
M975.373T872.624,
M795.538T1365.583,
M937.361T940.951,
M1051.398T857.905,
M1013.365T908.018,
M798.337T946.991,
M833.318T940.951,
M677.441T1317.16,
M471.218T918.479,
M515.185T908.801,
M1002.908T1006.792,
M473.199T864.231,
M565.21T891.79,
M436.428T1590.788,
M1T1,
