"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"sodium_formate","4070413.164","3874278.07","3824225.78","4055654.438","3969364.476","3963523.235","3748519.024","4093395.228","3922085.165","4081197.404","3906272.338","4398137.214","3999488.086","3978044.09","3825767.55","4040030.701","3680698.477","4066641.635","3879395.65","4076296.312"
"M697.459T1191.472","55684.876","31896.562","37098.796","71562.789","111944.303","48654.17","665881.902","51152.706","30936.349","58400","23958.044","3987.1729","105354.099","67484.42","66900","131000","797.43458","147331.1733","99500","139952.827"
"M695.447T1189.727","83081.174","85123.951","98764.798","99779.163","105915.184","87808.375","128651.828","91936.174","94806.809","107000","81972.152","11746.8246","97142.53","92575.631","82400","122000","13450.2944","126048.9958","134000","125924.459"
"M917.581T1308.231","34368.139","39887.509","67059.285","41747.83","47160.955","44049.13","69950.821","32592.502","38489.281","21200","13771.314","7160.4891","45448.735","68485.376","27800","50300","2115.8657","61374.9686","67700","46004.327"
"M810.529T1306.211","213262.994","118128.393","209014.243","228748.6","203936.529","194861.675","119442.394","209988.837","182671.64","204000","112037.812","38500.1179","299577.864","216925.928","199000","228000","48631.3265","230287.0154","220000","193932.61"
"M385.182T1540.093","294599.375","406658.816","202483.247","308730.483","222388.915","202100.962","199966.87","147321.776","170852.391","317000","167310.542","155254.9021","259132.135","224991.554","524000","212000","148508.3789","172891.3326","198000","196275.241"
"M441.228T1306.216","261605.726","251885.263","307642.299","306964.215","215245.706","270183.793","208657.016","196752.29","232188.034","292000","152518.141","47892.0152","282070.504","252492.58","242000","225000","43358.4547","207081.4396","255000","247598.952"
"M711.445T1221.644","58457.913","53010.795","50978.457","82090.413","88703.875","53254.345","103285.031","55463.079","42774.535","57400","43321.796","10203.841","65139.613","63334.344","49300","78400","5467.3746","77338.2661","86200","96719.521"
"M557.468T1423.166","199019.015","562584.292","250667.015","331934.427","204020.494","145123.879","164335.182","204996.718","215146.995","150000","76024.845","26879.3274","458836.872","354372.383","260000","455000","14892.0994","292374.4778","410000","334984.908"
"M679.436T1338.726","219264.282","183868.945","226053.862","282101.502","281515.631","221283.13","268682.991","180811.476","203130.698","143000","147167.781","81548.8049","362081.721","258822.43","212000","329000","122476.9514","359010.1836","452000","377428.723"
"M589.459T1372.544","18198.211","115326.556","43119.788","86416.853","69205.068","38320.483","70375.896","25582.141","36156.258","29100","9869.014","20803.9564","107743.117","67575.905","29700","160000","3998.0049","104409.0261","118000","84365.09"
"M681.469T1408.485","171388.88","160621.745","168156.22","314539.183","380164.145","232317.245","355429.749","196123.724","207110.618","167000","116647.311","98855.8047","453876.108","238162.945","227000","450000","112389.2869","518672.1418","584000","525769.479"
"M695.451T1225.817","131814.717","134866.193","145598.535","165873.252","191847.098","145608.294","225458.181","131072.654","143600.136","163000","124055.045","29981.8786","173047.698","152494.052","129000","197000","42074.5013","225171.3505","254000","228577.635"
"M285.134T1052.907","234797.083","201747.304","300894.361","199216.489","179949.771","176537.1","18417.793","153966.828","127821.785","286000","232313.41","5330.2647","220358.896","256618.621","192000","160000","2482.1616","160927.1464","191000","153403.204"
"M681.469T1389.183","163313.902","154095.195","163965.731","322227.404","368577.224","207141.428","347915.206","192312.388","174727.49","157000","110750.118","95071.8578","444405.459","235561.093","223000","423000","104816.5992","504877.2227","571000","503253.844"
"M680.474T1439.81","166861.342","142681.859","185464.052","161118.469","235862.297","188803.261","202268.301","135770.106","140539.807","158000","121518.438","173865.68","197629.532","197797.262","157000","207000","185956.928","255051.3497","283000","281276.639"
"M574.467T1456.399","164944.38","54043.66","103990.515","113555.375","134725.954","93186.771","120652.644","105149.06","55210.133","86900","29038.979","99358.252","172111.591","106702.193","138000","249000","19965.2981","157050.0698","210000","185858.483"
"M565.421T1295.888","67494.509","60386.758","58316.4","85393.954","105188.257","70201.2","137772.18","51088.143","77583.398","47600","38843.291","23258.9584","117777.246","78103.042","91100","117000","18101.2807","99801.8564","108000","102116.583"
"M681.474T1424.253","164193.655","167515.132","173417.992","318947.215","335180.749","197036.275","202096.746","178457.822","184424.594","175000","133619.604","105579.5211","453221.947","231543.235","215000","394000","123928.6004","480019.3125","558000","486101.147"
"M569.292T994.771","98244.805","65010.35","158380.255","112910.715","95503.679","88371.643","15846.702","106285.971","71958.759","183000","132273.614","5448.2648","126472.113","131740.63","123000","111000","2515.551","102229.2876","111000","104590.73"
"M989.67T1341.992","44760.975","43297.096","108639.187","88064.003","64403.227","72691.615","52229.547","45807.369","36806.479","26700","34716.32","5340","59987.694","150434.286","97700","37500","5340","51943.2607","62800","154782.107"
"M379.265T1245.233","166729.439","138740.364","125709.241","151748.211","137822.86","160708.333","180900.719","133368.381","134735.158","150000","142210.456","69623.0933","144736.423","134670.407","178000","143000","71535.5285","152067.8901","132000","144943.703"
"M679.452T1355.733","227084.938","183868.945","226053.862","320695.421","288669.558","228092.915","268682.991","180811.476","209056.927","205000","151438.276","84643.0542","362081.721","258822.43","212000","341000","126258.7844","370953.7543","492000","387157.148"
"M713.46T1208.68","68820.709","25051.256","12831.842","60654.609","150949.803","34143.797","126512.555","36762.569","41635.713","32000","68573.418","4248.7682","74155.234","32623.865","59700","119000","7077.4266","144662.4417","131000","137325.694"
"M711.444T1322.388","121463.842","121444.607","116726.739","153795.317","152855.293","120245.197","163101.924","106716.292","111145.421","111000","89774.788","36827.9411","142993.886","124157.193","109000","142000","32307.6222","154409.805","160000","172736.872"
"M637.414T1384.421","112192.092","90000.603","98339.297","141939.689","137662.597","123541.239","139327.246","104924.698","109516.492","128000","75374.481","42060.9781","127573.936","113850.429","124000","172000","41628.8069","139944.5964","160000","143226.42"
"M637.411T1406.122","108662.69","95801.948","98967.773","136582.196","115642.995","121914.02","119802.505","114415.576","103849.158","120000","71203.221","43729.9679","132442.906","118372.347","122000","157000","45964.1172","134487.0958","173000","145857.175"
"M729.452T1109.944","56554.445","36232.915","41034.807","65154.602","79221.743","59173.038","159957.925","31143.685","35665.803","46600","26610.278","14884.097","56790.368","50748.945","45800","74900","7647.4722","101677.7772","95800","84450.709"
"M571.365T1456.373","145551.779","120743.001","120616.518","110073.84","161165.253","106444.879","167646.293","164800.988","144653.586","115000","105962.867","62439.4059","156583.656","137318.739","136000","2e+05","53371.8812","180179.3984","166000","172555.316"
"M865.579T1358.969","2110.547","422.1094","422.1094","4769.633","30687.015","5492.809","18913.122","17250.962","2480.436","10000","2774.337","5039.3528","422.1094","2937.84","29800","15000","2250.9549","19540.4228","9280","4283.683"
"M867.584T1358.969","24579.92","19729.055","4183.538","3041.3","31251.513","13235.168","38980.397","26404.247","3228.639","19000","4724.904","7389.6066","5356.638","29171.286","10800","47100","6016.5501","32248.8127","20500","24506.329"
"M682.472T1373.006","65050.927","71016.984","83430.536","133081.695","148728.389","87645.687","215892.389","94755.963","69424.21","72400","57251.106","32223.3269","214440.429","91621.968","93200","173000","45161.7353","248173.6808","242000","223915.972"
"M589.459T1264.044","13279.696","13540.329","13810.302","27831.414","33645.142","14119.026","90809.208","24190.331","4303.151","18400","10364.304","4440.8735","25035.778","20093.651","23400","79100","2649.856","41309.8699","31000","47899.939"
"M633.478T1401.37","520225.574","558801.295","619174.143","871213.807","683082.969","625790.065","673145.917","546672.223","599345.129","566000","227635.228","245904.5654","1154979.405","797119.513","804000","1370000","184877.1851","862132.2933","1030000","794202.69"
"M646.455T1423.013","56562.534","42722.065","59941.964","71025.505","93411.882","52752.403","51202.779","58048.486","61331.791","51100","32868.467","21304.4484","95911.753","88298.417","72200","139000","17758.4531","93340.9809","80300","115337.117"
"M881.484T1273.289","234436.861","224334.317","295351.767","395072.078","206434.352","207850.267","235159.555","199951.4","223908.501","328000","162316.082","5558.8453","431243.777","285459.036","169000","207000","4869.6132","191224.2198","244000","206198.924"
"M637.412T1422.711","102360.036","87864.466","95625.614","131375.891","124619.373","116923.502","109075.689","110345.835","103849.158","113000","68419.359","43760.5094","127373.85","105525.045","117000","160000","45972.9075","134560.522","170000","143241.16"
"M591.474T1330.445","130661.573","127396.929","138825.936","217333.461","248322.174","101285.984","351658.961","140083.602","191476.823","173000","52584.292","37309.0542","353241.914","173267.902","246000","434000","24422.2214","287457.3399","333000","298150.854"
"M645.45T1333.909","228230.313","181888.614","235718.909","294292.076","287004.318","250695.592","383452.111","196992.656","236474.708","256000","184170.227","29668.5824","305647.056","223455.515","230000","370000","52065.1939","284974.035","280000","323479.91"
"M826.523T1305.342","197191.908","187211.309","245172.807","283553.354","171336.875","164270.966","260692.728","162109.384","135490.556","209000","103494.941","11098.4363","339973.807","236754.851","180000","182000","7183.433","190334.3079","227000","202089.747"
"M593.485T1401.37","134163.811","140952.951","164720.02","232764.214","204381.89","168325.472","222887.415","183028.338","221155.843","169000","78431.48","51432.6109","295872.332","196269.804","268000","335000","53538.4039","272104.2977","284000","261169.055"
"M591.474T1402.346","149877.385","143453.075","161171.656","235634.366","257745.908","110096.171","333164.76","157512.379","197774.134","183000","56710.09","49540.8294","369627.762","194263.345","277000","451000","33767.1849","296974.5261","354000","311222.553"
"M1123.351T817.469","47819.684","52727.53","87763.36","87167.6","51593.004","64329.029","34454.375","75015.69","56038.686","110000","69757.526","15926.191","94060.554","78405.804","69800","76600","22717.8872","59455.6587","76400","53650.729"
"M645.458T1212.039","214794.355","174822.897","224920.029","266368.109","265379.75","231828.015","379772.633","190063.266","213711.84","250000","160778.168","20779.4483","270329.988","206351.153","215000","329000","44646.8921","250875.1378","248000","278478.357"
"M555.363T1275.021","73820.284","70668.299","42519.672","44161.861","81566.274","50411.57","191373.692","174683.522","71882.04","63300","46081.675","5844.1195","69872.341","56525.348","64500","96600","5001.7389","159603.3549","77200","137867.184"
"M277.217T1187.469","1825758.351","1767010.633","578028.196","803689.571","1049411.827","1510710.873","297574.997","3818136.104","1571663.522","1260000","1471454.746","32997.7329","485415.973","1155627.481","1200000","1700000","45013.3031","2851078.653","814000","2637313.886"
"M670.528T1488.279","49964.272","50338.605","52886.866","78614.754","87543.682","60495.628","53331.259","54640.535","52689.099","46200","44933.987","27967.0418","102981.521","63342.486","55300","92200","29389.637","80787.9069","104000","86021.575"
"M679.449T1212.039","295935.623","166202.511","240559.217","296747.645","343084.541","326322.5","436666.195","296958.984","264387.248","372000","389554.596","43065.5061","289273.348","293020.221","266000","428000","66502.5411","433975.259","433000","421120.218"
"M697.464T1209.593","205644.125","190851.008","435547.27","319486.732","244886.114","187143.289","664964.577","150659.348","269396.939","84600","118530.821","10143.8925","519328.99","293704.638","191000","259000","4971.8832","425998.1735","515000","423119.869"
"M985.571T1146.934","174160.642","112593.867","165145.579","144368.473","169777.372","178462.141","210857.931","169618.45","123218.655","197000","110025.613","7807.9152","129531.693","151301.507","162000","142000","11917.3594","125480.2053","129000","128808.398"
"M424.216T1338.866","103729.751","63292.074","69828.482","79365.115","105755.97","94316.582","112068.294","79641.238","87396.385","78600","70141.133","29053.1001","79324.733","62276.146","73200","106000","28936.9011","89852.6875","54200","98394.4"
"M565.409T1275.021","87707.868","74662.513","75210.217","99871.965","125537.91","80161.964","225898.213","65157.788","88577.004","74400","47992.494","27962.2573","134813.375","96518.567","95700","131000","26042.2554","114053.1407","130000","127495.505"
"M698.466T1253.346","92645.417","89452.116","176541.15","156938.148","124584.408","98140.725","234659.688","66581.156","108962.561","66100","60672.275","11593.3803","223954.029","129719.593","61400","136000","2318.67606","175422.678","240000","195813.753"
"M661.446T1372.452","164800.878","155975.247","199078.058","265194.383","211174.655","188192.323","232763.054","170793.722","234181.54","197000","147551.66","79714.8537","287402.634","211302.211","228000","256000","82780.9523","278917.5535","254000","309641.039"
"M695.45T1338.973","90347.236","104999.095","96010.69","115766.216","148869.904","95601.217","92826.638","92703.784","99451.854","101000","71942.559","52754.6173","143793.609","110810.643","97400","134000","59599.9651","172594.0898","190000","180167.904"
"M593.49T1490.213","136529.68","153717.215","179659.376","248224.476","216772.522","181759.799","201059.31","189125.94","235445.499","181000","88773.579","55594.9947","314054.24","210865.546","279000","334000","61226.368","289607.0826","301000","267183.403"
"M951.567T1289.006","572191.072","446300.728","685811.107","673125.951","825050.322","787382.947","703951.465","547792.658","465785.409","982000","320195.001","3148.8835","981528.649","820809.782","751000","768000","629.7767","455518.47","6e+05","462160.274"
"M593.489T1431.043","133998.543","140829.21","164616.582","232425.943","212970.384","171937.894","250598.409","182774.693","228311.238","177000","80590.158","51358.5484","295720.309","196044.698","275000","335000","53528.7151","278719.1263","287000","264624.745"
"M639.424T1291.55","82434.029","40127.092","73503.553","79763.402","90784.545","74488.535","171204.964","60410.552","61630.916","76700","32166.117","10182.8522","102065.763","79868.695","57900","118000","20888.2664","95363.5705","1e+05","92325.348"
"M986.591T1195.638","132284.386","88377.324","111695.226","101015.506","116612.626","111008.681","210650.642","93084.491","80432.074","106000","65493.479","1462.44026","98338.943","105144.116","166000","93400","7312.2013","91905.4998","87000","101335.693"
"M591.473T1440.13","164820.66","177024.638","196792.823","287047.992","284460.994","118212.315","306861.776","172027.718","229942.411","205000","56926.04","59137.63","459725.482","211877.188","296000","484000","39822.061","320033.5919","383000","323955.051"
"M590.465T1389.456","44794.744","69445.683","24697.212","56569.268","70251.465","25550.991","64964.899","33424.602","28374.529","21400","7005.161","16336.5056","97064.155","72607.691","58900","108000","9143.1066","68957.0125","86900","92086.329"
"M631.469T1330.308","122092.234","69513.344","97805.917","157385.442","148322.945","144974.441","588936.642","100796.299","146058.42","110000","54563.938","9951.1702","209751.003","115643.985","214000","330000","12331.527","180761.8425","147000","202509.695"
"M637.415T1439.736","103644.542","92821.444","97376.769","129473.463","122816.408","115339.965","104015.624","114531.395","97502.469","108000","64890.17","43046.2887","127423.849","104110.118","118000","163000","48220.5915","136427.3987","166000","132917.487"
"M759.217T1590.788","67444.982","51405.56","46006.842","44349.386","56962.778","44150.437","27469.64","51107.683","42303.11","41900","59785.817","27743.0608","34653.466","35798.55","33400","50200","31405.9104","35046.9361","42000","54984.046"
"M711.441T1125.643","31518.676","33285.474","35897.826","45071.304","56394.549","40010.959","83769.346","30494.191","34213.502","42500","30858.83","4846.4138","32191.885","41411.023","34800","42800","5702.0626","46186.7454","52900","52426.556"
"M810.527T1193.498","238692.411","124964.708","196690.385","225713.184","183391.12","227914.515","294819.824","214762.08","175436.015","218000","118032.634","48814.246","309039.858","242098.826","219000","231000","74217.5414","267208.2643","257000","223969.616"
"M646.453T1439.754","119665.049","121432.447","135601.422","183829.087","157970.612","143927.223","110166.029","108127.436","131002.693","132000","89246.493","35894.044","179556.293","146711.487","130000","207000","36889.5211","174656.2307","184000","172548.512"
"M379.265T1372.423","212767.291","209324.193","171423.785","229487.848","169034.44","193865.609","269696.091","185412.829","168745.735","192000","208790.937","117562.5941","202537.465","208500.024","195000","192000","114838.5269","223914.9638","181000","187283.35"
"M926.605T1358.969","10394.203","26010.962","10023.222","22829.168","11783.657","12518.217","6613.669","11255.111","14372.52","6760","9797.703","551.07164","10183.248","29286.854","20600","29500","2755.3582","17132.1935","8480","17400.043"
"M951.568T1338.092","564728.574","442696.841","675306.831","665937.627","773979.107","777344.361","608674.796","529955.32","456377.156","966000","309812.491","3199.7982","973365.804","802839.709","641000","784000","639.95964","430890.6895","582000","467608.063"
"M651.516T1408.532","61054.475","63662.598","85345.208","136851.29","86956.825","62437.402","111268.988","76509.705","110606.885","58700","17328.958","10485.5153","185704.153","119788.859","104000","171000","7808.9863","112391.0398","166000","114844.201"
"M593.49T1557.453","143172.701","155790.623","182540.673","256652.634","222783.544","181727.104","281130.14","197648.9","242860.135","185000","95367.334","58820.3481","321237.148","210630.195","287000","342000","63930.3186","292353.5566","311000","276348.129"
"M881.483T1130.872","180047.605","126331.969","202304.119","232382.876","161151.564","143114.335","364814.975","161812.095","132679.524","257000","142738.016","4898.3847","272632.292","185679.873","134000","123000","979.67694","131580.8296","161000","138647.825"
"M967.557T1267.284","371336.152","209359.911","278457.198","271477.019","291380.313","249015.206","361421.593","295806.246","265829.591","394000","205986.304","7183.1584","368860.457","273327.75","252000","275000","4630.2083","230010.1319","243000","300051.656"
"M574.468T1330.445","70911.265","34042.085","60926.331","76299.74","91212.152","67280.43","153289.087","61266.49","55119.764","61400","17077.364","24538.1497","122228.347","58559.02","122000","177000","5208.555","107313.088","123000","121376.204"
"M668.492T1305.416","50378.149","31672.489","39804.034","75265.506","62071.646","42152.003","124577.992","51776.843","23229.771","40200","10694.24","2138.848","92095.78","61430.215","45300","76100","11895.6676","69897.1546","72900","59717.896"
"M587.442T1269.605","41704.679","22861.988","29394.533","36196.308","46667.689","42581.826","102621.46","28557.997","25306.611","36000","20013.476","7200.5114","33665.362","35258.771","39000","62600","5165.6322","44571.1142","45100","37939.253"
"M711.566T1557.453","74071.125","87869.065","81880.452","202926.314","113010.303","85504.813","71322.626","83021.559","91919.16","59700","87898.267","63850.8704","199502.076","82258.292","111000","106000","49052.2573","149920.8261","137000","103074.874"
"M648.466T1423.012","141113.984","108480.254","135566.385","270855.515","237352.647","203234.359","223614.717","149030.192","174816.854","142000","80683.879","27109.4489","373044.157","212807.652","225000","440000","29876.0756","343452.7274","325000","292888.496"
"M951.572T1242.045","550837.268","403729.394","614128.496","607468.995","806795.211","771212.216","845296.54","513220.993","445222.236","959000","317101.546","2982.6408","899553.548","755209.626","728000","752000","5403.0968","427707.6813","518000","446483.087"
"M639.422T1278.929","121246.472","62507.97","101245.875","118749.628","130380.818","102354.265","219006.531","95961.29","96199.36","109000","59163.584","15596.8506","155555.58","111982.412","111000","162000","32792.2719","152908.6754","151000","147590.5"
"M697.259T909.874","98735.79","46851.883","104432.122","101456.39","112477.977","105420.659","119081.65","152480.904","119978.708","181000","117475.236","17010.7433","115935.209","112530.544","119000","120000","26668.793","128907.9265","123000","152378.474"
"M593.49T1539.529","143410.006","156031.954","180029.855","254008.739","220436.686","179175.625","178349.585","193535.282","240466.784","180000","93406.786","59035.7756","319007.033","211070.512","279000","330000","63948.6407","289508.9724","305000","264314.23"
"M711.565T1605.092","74080.895","91728.926","81898.157","202993.232","113063.668","85510.101","54871.719","83053.772","91917.621","59700","87949.835","63887.4781","199546.045","82271.225","107000","106000","49049.3531","149947.6087","134000","103077.829"
"M649.479T1423.325","558918.536","657015.384","612830.247","1018434.894","774629.618","832085.752","870933.03","610488.818","772603.307","520000","497603.729","106656.5197","1583935.491","745686.201","935000","1670000","109613.6374","1188286.196","1350000","1389637.717"
"M723.435T1322.772","82562.446","77249.529","68261.833","73922.616","80455.21","69850.151","99022.309","67903.003","68963.755","68400","49607.044","26434.8757","79687.002","65774.631","63900","83100","28667.3007","74737.8557","67900","87803.993"
"M423.198T1506.423","693803.943","659994.865","648273.08","679183.754","649851.809","609247.089","981911.993","640293.242","625395.594","647000","673467.578","581243.8495","680687.184","571804.67","655000","679000","566826.0527","623271.4154","658000","659107.696"
"M727.445T1338.726","105769.826","82743.236","84048.08","106583.802","112795.406","101821.258","98150.495","94559.455","93488.527","98000","75804.753","35636.4826","122428.57","99805.163","95500","84300","49202.2743","97410.3606","98800","122088.407"
"M986.584T1288.291","150536.667","92785.682","126620.793","150884.528","163598.545","152657.334","170276.585","101085.215","85461.512","147000","81246.1","925.77506","100523.667","119940.767","166000","135000","4628.8753","102729.7392","91900","108905.326"
"M593.489T1519.555","141023.456","153655.035","179615.298","248087.322","216593.241","181729.176","224800.204","191376.317","237931.975","181000","88700.193","55553.5382","160167.228","210762.226","270000","340000","61220.9955","289553.062","304000","270467.832"
"M385.184T1473.566","331795.419","452453.765","286329.942","356307.67","266437.816","244971.768","243372.808","185147.061","202964.607","355000","207087.232","203225.3738","446805.873","260822.707","213000","256000","195078.6123","221382.5625","239000","230496.429"
"M571.362T1440.098","126196.448","101939.266","95851.186","97336.943","147724.202","99858.288","94192.728","103773.101","124986.699","104000","83764.835","59407.9579","138189.483","121236.567","112000","189000","55464.216","149449.0581","148000","134039.473"
"M646.461T1352.771","128207.276","134866.579","140378.509","198228.736","137564.764","147102.872","156749.497","122829.103","136248.05","146000","96228.724","38374.1338","192183.405","157024.394","141000","216000","36881.3682","183412.976","191000","178086.38"
"M555.456T1423.317","117114.799","129776.619","136929.754","153720.07","139070.582","111252.964","148357.31","114187.492","123434.822","113000","100793.606","75032.9385","223296.921","128539.184","127000","211000","73584.2061","191475.0805","188000","173546.865"
"M679.553T1406.451","84188.391","79977.966","104648.212","99153.181","166299.352","170116.235","204448.845","89599.378","65282.131","65000","75938.237","197970.4599","180610.521","134834.133","99100","156000","195267.6549","230978.2667","320000","281036.568"
"M547.402T1437.709","234851.499","241124.799","232064.349","313045.639","225614.421","242762.003","221754.645","202280.956","241418.619","194000","226024.138","208096.4806","333610.933","249499.217","224000","310000","211829.8932","276375.4688","304000","300705.357"
"M985.575T1306.148","231337.158","180516.889","218277.747","224617.939","218906.26","224417.435","176634.35","220585.163","149555.708","251000","112058.023","5282.0657","225623.859","208769.56","194000","175000","2720.2758","174224.6942","178000","199061.315"
"M716.516T1356.112","34098.895","46949.375","52643.506","40556.726","39536.721","42925.158","43118.593","59562.293","41029.96","33600","30153.928","34156.5949","56747.876","46815.239","41600","39100","15422.2527","40301.0494","35300","34063.483"
"M775.526T1457.082","413534.698","423978.233","469921.524","361007.594","402673.406","469191.745","195168.511","363521.542","429206.494","326000","166323.919","56977.2685","452285.966","405495.955","399000","395000","76222.8859","400163.3131","381000","417970.269"
"M590.446T1338.898","93528.997","157581.547","168876.664","153682.892","123244.889","155776.291","230597.539","137812.234","145972.242","102000","112224.185","121587.4735","166093.565","181546.965","135000","173000","140783.7698","172411.8823","181000","162137.389"
"M826.525T1288.728","197284.069","190328.85","258669.152","302007.378","199887.454","174996.04","284375.145","187270.527","211453.576","234000","103591.964","10935.5685","211649.678","236905.523","187000","171000","11651.8546","193465.4783","230000","202370.463"
"M879.468T1338.726","76383.556","73327.021","115221.084","152304.504","72580.876","66660.235","11444.267","58865.481","98345.7","87800","42374.257","5050.6846","142626.886","105265.897","65700","67500","11896.5402","73566.5465","93800","70470.566"
"M826.503T1348.634","197168.191","187242.93","251826.79","296541.09","171306.308","174996.04","283354.821","180008.47","211453.576","234000","103491.728","10917.3117","343069.14","236804.674","187000","182000","7185.057","193355.3728","227000","202210.791"
"M808.523T1304.698","209915.707","153970.767","228182.529","227474.819","224888.644","194448.26","151443.025","189600.102","206253.765","270000","119831.291","14917.8191","279221.041","221840.27","204000","226000","22711.127","160295.7285","208000","214786.527"
"M647.463T1423.013","298212.095","266019.814","351605.28","666160.935","535369.887","422948.089","658415.837","321440.767","433141.038","351000","145800.611","33463.8657","822385.337","439611.211","421000","978000","44523.4784","721742.2788","806000","698912.55"
"M613.48T1389.147","243917.035","217472.783","336511.51","273629.764","267954.755","257385.205","203517.994","193697.081","155110.042","204000","58704.543","92310.4828","236416.373","174938.331","275000","246000","131720.0954","377189.3844","253000","231598.992"
"M556.445T1212.039","16179.484","10299.651","11941.216","18447.185","19744.208","24171.985","256676.7","34789.508","9037.72","13900","15689.968","4527.8844","8475.575","8488.415","52200","29700","10398.1149","21989.7654","29200","19674.738"
"M937.593T1423.395","104527.173","136622.05","191705.13","142675.643","117325.457","112164.551","42759.138","137012.661","101769.329","76900","50569.266","18670.1113","165567.983","178144.897","137000","93400","5211.0308","103667.1439","134000","99280.319"
"M645.457T1372.456","257076.459","209361.281","277312.328","346475.927","338055.114","285692.345","327338.973","233449.401","275007.849","282000","215028.703","55079.1253","347691.794","265720.21","260000","421000","81213.2095","374466.8013","335000","376436.54"
"M668.506T1440.08","64363.224","43085.66","65400.968","101574.833","82274.174","52886.146","84713.985","59978.641","22022.439","59400","24694.265","14305.4281","120013.855","74434.082","52200","98700","29009.4657","102697.4572","83100","81842.055"
"M330.262T1591.258","211935.945","208263.963","214174.654","195639.359","197523.342","212385.698","126218.61","212052.129","196872.417","222000","201723.082","202902.7859","200811.459","209718.402","175000","205000","200728.5187","220420.7157","199000","190642.933"
"M668.509T1456.373","57891.889","54663.821","75739.535","91830.582","72894.852","62137.18","58433.655","57208.76","18850.752","69100","24779.248","20777.5815","114811.792","78398.883","53900","96800","39634.4379","104592.5187","83100","94905.621"
"M514.252T1322.055","158562.223","148904.296","200739.937","179809.083","246253.841","232221.293","117957.411","149655.587","152433.188","250000","113120.797","10206.8693","245187.564","204248.172","191000","245000","6345.8542","134173.5863","158000","142481.275"
"M863.507T1099.137","148347.176","150873.359","157550.161","226768.923","138341.884","183433.574","215666.027","106298.118","105693.898","169000","102716.764","1012.95408","212308.72","162632.067","164000","154000","5064.7704","115178.2715","152000","128621.196"
"M775.529T1416.7","388895.54","406240.881","463947.085","353579.054","403777.426","460757.244","194959.045","346028.673","425749.263","309000","159038.269","70685.6445","445282.209","388020.78","377000","379000","83252.8408","391284.0145","363000","399655.141"
"M645.449T1440.08","234080.431","190238.991","268377.593","330183.158","306011.529","257343.856","272827.835","197460.399","236097.973","265000","193560.581","55213.1872","381250.344","238531.394","237000","399000","74690.997","282226.8658","348000","345333.269"
"M937.594T1308.231","86978.223","99490.176","150462.418","116012.239","91209.223","95006.108","161147.79","83962.722","89579.952","65000","54114.389","5764.6155","148715.916","146530.789","77800","88900","2149.6466","98085.649","108000","90341.215"
"M826.525T1272.551","197050.998","187148.496","247545.772","287599.789","171162.726","164217.88","260692.728","165136.663","211388.321","209000","103430.246","11093.9976","343034.67","236716.984","183000","182000","7183.0726","193312.8091","227000","202042.099"
"M333.203T1120.498","778399.589","584323.301","463497.491","390259.448","776299.267","832235.821","304007.226","1560578.43","625927.902","811000","573329.176","44665.535","341110.452","726619.628","739000","1120000","39243.4929","911729.375","6e+05","953787.346"
"M618.492T1624.789","60177.542","61529.997","81559.233","99251.195","96533.401","74302.622","52560.788","92143.759","119404.286","67200","40318.057","48673.0678","190016.366","97308.513","130000","142000","56998.3487","137223.9275","134000","129062.144"
"M590.444T1439.586","132809.321","198782.059","216923.796","216439.274","157701.886","190919.518","225592.335","189544.094","183697.196","132000","157301.328","155223.4575","217979.584","227350.721","175000","233000","188296.5711","222279.6478","228000","206715.748"
"M839.557T1356.291","100680.253","108431.933","100105.16","121694.67","106661.064","102967.463","47734.854","80578.566","88187.626","107000","73498.934","49274.0827","127709.487","98646.243","78000","109000","28723.1933","97468.5591","89500","82199.115"
"M558.473T1423.364","83867.69","216542.577","118329.232","152624.388","105199.54","93127.702","71707.244","113167.474","175049.201","72800","52711.294","34517.7234","198517.525","172359.787","99500","231000","32031.2079","136550.5474","229000","141890.765"
"M986.572T1421.54","139818.512","116745.938","158548.093","158471.31","166318.559","156580.097","104300.579","119448.327","136662.432","149000","56995.612","4726.5981","196990.342","168043.661","161000","152000","10413.3237","123391.0838","138000","113642.417"
"M933.56T1145.906","584443.897","319739.329","379525.141","326823.591","651814.619","501934.373","673552.433","333249.776","301598.24","552000","230865.252","4234.0477","441713.455","428089.003","520000","572000","2314.3638","383345.0872","353000","352371.808"
"M933.558T1114.912","601578.762","343261.815","409829.641","371733.653","664955.189","524673.167","771165.453","359023.105","323280.108","611000","242288.857","8273.3648","480840.523","442460.088","542000","604000","9022.7302","405097.2529","379000","366461.666"
"M987.596T1238.129","200898.904","157752.03","270307.224","236254.974","192897.719","230968.422","92644.37","197838.179","175994.131","256000","117182.227","449.9177","291701.283","292582.509","210000","223000","2249.5885","168526.8838","194000","182785.407"
